,"Мощность активная потребленная, кВт",Год,Месяц,День,Час,День недели,Праздник ли это
582,10.075490119457239,2022,1,25,7,2,0
583,10.146468658099462,2022,1,25,8,2,0
584,9.21509173640393,2022,1,25,9,2,0
585,9.694629668206272,2022,1,25,10,2,0
586,9.961231984081941,2022,1,25,11,2,0
587,9.225478839619871,2022,1,25,12,2,0
588,8.35642453721994,2022,1,25,13,2,0
589,7.19133779316587,2022,1,25,14,2,0
590,6.95070323533003,2022,1,25,15,2,0
591,6.571573967948391,2022,1,25,16,2,0
592,5.067175185507111,2022,1,25,17,2,0
593,5.20047634344494,2022,1,25,18,2,0
594,5.02043322103539,2022,1,25,19,2,0
